Producer,Variety/Vine,Vintage,Red,White,Rosé,Orange,Sparkling,State,Winery?,Vineyard?,Oaked?,AVA,Price/750mL,Rating,ABV %
Charles Smith Wines,Syrah,2019,1,0,0,0,0,Washington,1,1,1,1,17.99,87,14.5
Charles & Charles,"Blend: Syrah, Grenache, Mourvedre, Cabernet Sauvignon",2021,0,0,1,0,0,Washington,1,0,0,1,10.99,87,12.5
Chateau Ste Michelle,Riesling,2021,0,1,0,0,0,Washington,1,1,1,1,18.99,87,12
Chateau Ste Michelle,Sauvignon Blanc,2021,0,1,0,0,0,Washingotn,1,1,1,1,8.49,87,12.5
Chateau Ste Michelle,Cabernet Sauvignon,2020,1,0,0,0,0,Washington,1,0,1,1,15.99,87,14.5
Cline,Viogneir,2021,0,1,0,0,0,California,1,0,1,1,16.99,87,14.5
Cloudveil,Pinot Noir,2020,1,0,0,0,0,Oregon,1,1,1,0,16.99,87,13
Columbia Crest,Cabernet Sauvignon,2017,1,0,0,0,0,Washington,1,1,1,1,14.98,87,14.5
Decoy,Merlot,2019,1,0,0,0,0,California,1,1,1,1,24.99,87,13.9
Dobbes Family Estate,Jovino Pinot Noir,2018,1,0,0,0,0,Oregon,0,1,1,1,15.99,87,13.5
Ghost Pines,Zinfandel,2018,1,0,0,0,0,California,1,0,1,1,19,87,14.5
Imagery,Sauvignon Blanc,2021,0,1,0,0,0,California,1,0,0,0,21.00,87,12.5
Joel Gott,Sauvignon Blanc,2022,0,1,0,0,0,California,1,0,0,1,13.99,87,13.5
Josh Cellars,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,0,1,1,18.99,87,13.5
Kendall-Jackson,Pinot Gris,2021,0,1,0,0,0,California,1,1,1,1,14.99,87,13.5
Kings Ridge,Pinot Gris,2021,0,1,0,0,0,Oregon,1,0,0,1,20,87,13.5
Kings Ridge,Pinot Noir,2021,1,0,0,0,0,Oregon,1,1,1,1,18.99,87,13
Kingstree Winery,Chardonnay,2021,0,1,0,0,0,California,1,0,1,1,19.99,87,13.5
Kirkland Signature,Chardonnay,2021,0,1,0,0,0,California,1,0,0,1,3.99,87,13.6
Klinker Brick,Blend,2021,0,0,1,0,0,California,1,0,0,1,20,87,11.6
Mason Valley,Sauvignon Blanc,2021,0,1,0,0,0,California,1,0,0,1,25,87,13.8
Meiomi,Chardonnay,2020,0,1,0,0,0,California,1,0,1,1,12.97,87,13.5
Pine Ridge Vineyards,Blend,2022,0,1,0,0,0,California,1,1,0,1,12.99,87,12
Ponzi Vineyards,Pino Gris,2021,0,1,0,0,0,Oregon,1,1,1,1,13.99,87,13.5
Sokol Blosser,Pinot Noir,2018,0,1,0,0,0,Oregon,1,0,1,1,39.99,87,14
Taken,Chardonnay,2019,0,1,0,0,0,California,1,1,1,1,12.99,87,14.1
Waccamaw Wines,Blend,2020,1,0,0,0,0,California,0,1,1,1,14.99,87,14.5
Wente Vineyards,Chardonnay,2021,0,1,0,0,0,California,1,1,1,1,13.47,87,13.5
Willamette Valley Vineyards,Pinot Noir,2021,1,0,0,0,0,Oregon,1,1,1,1,21.99,87,14.5
William Hill,Chardonnay,2017,0,1,0,0,0,California,1,0,0,1,17.99,87,14.2
A to Z Wineworks,Chardonnay,2021,0,1,0,0,0,Oregon,1,0,0,1,15.99,88,13
Ancient Peaks,Merlot,2020,1,0,0,0,0,California,1,1,1,1,17.99,88,14.3
Beauty in Chaos,Pinot grigio,2021,0,1,0,0,0,Washington,1,0,0,1,12.99,88,12.5
Bread and Butter,Rosé,2021,0,0,1,0,0,California,1,0,1,0,14.99,88,12.5
Copper Cane Wines & Provisions,Pinot Noir,2021,1,0,0,0,0,California,1,0,1,1,19.97,88,14.7
Cupcake,Chardonnay,2020,0,1,0,0,0,California,1,0,1,1,8.49,88,13.5
Decoy,Sauvignon Blanc,2021,0,1,0,0,0,California,1,1,0,1,16.99,88,13.9
Decoy,Chardonnay,2019,0,1,0,0,0,California,1,0,1,1,16.99,88,13.5
Diora La Petite Grace,Pinot Noir,2018,1,0,0,0,0,California,1,0,1,1,19.99,88,14.5
Domaine Chandon,Blend,2021,1,1,0,0,1,California,1,1,1,1,17.99,88,12
Fathers + Daughters Cellars,Chardonnay,2020,0,1,0,0,0,California,0,1,1,1,29.99,88,13.5
Fess Parker,Chardonnay,2022,0,1,0,0,0,California,1,0,1,1,17.99,88,13.5
Gloria Ferrer,Blend,2021,1,1,0,0,1,California,1,1,0,1,14.49,88,12.5
Grayson Cellars,Chardonnay,2021,0,1,0,0,0,California,0,1,1,1,19.99,88,13.5
Homestead Collection,Blend,2017,1,0,0,0,0,Washington,1,1,1,1,14.99,88,14.1
Josh Cellars,Sauvignon Blanc,2022,0,1,0,0,0,California,1,0,0,0,12.99,88,13.2
Kendall-Jackson,Cabarnet Sauvignon,2019,1,0,0,0,0,California,1,1,1,1,19.99,88,14.5
Kendall-Jackson,Chardonnay,2021,0,1,0,0,0,California,1,0,1,1,13.99,88,13.5
Kuleto Estate,Blend,2021,1,0,0,0,0,California,1,1,1,1,12.99,88,14.5
La Crema,Pinot Noir,2021,1,0,0,0,0,California,0,1,1,1,23.99,88,13.5
Oak Grove Family Reserve,Sauvignon Blanc,2021,0,1,0,0,0,California,1,0,0,0,10.99,88,12.5
Oliver Winery,Cherry Moscato,2020,0,0,1,0,0,Indiana,1,1,0,0,8.99,88,6.8
Robert Willis Homestead Collection,Merlot,2019,1,0,0,0,0,Washington,1,1,1,1,12.99,88,14.1
Rodney Strong Vineyards,Cabernet Sauvignon,2019,1,0,0,0,0,California,1,1,1,1,18.99,88,14.5
Rodney Strong Vineyards,Cabernet Sauvignon,2014,1,0,0,0,0,California,1,1,1,1,21.99,88,13.5
Silenus Winery,Merlot,2019,1,0,0,0,0,California,1,0,1,1,39.99,88,14.5
Snowvale Winery,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,0,1,1,12.99,88,14.5
Sonoma Cutrer,Chardonnay,2021,0,1,0,0,0,California,1,1,0,1,19.99,88,13.9
Whitehall Lane,Merlot,2019,1,0,0,0,0,California,1,1,1,1,40,88,14.9
William Ridge Cellars,Pinot Noir,2021,1,0,0,0,0,Oregon,0,0,0,1,19.99,88,12.5
Wolffer Estate,Blend,2022,0,0,1,0,0,New York,1,1,0,1,25.99,88,12.4
A to Z Wineworks,Grenache,2021,0,0,1,0,0,Oregon,1,0,1,0,17.99,89,13
Adelsheim,Chardonnay,2020,0,1,0,0,0,Oregon,1,1,1,1,24.99,89,13
Alchemist,Pinot Noir,2021,1,0,0,0,0,Oregon,1,0,1,1,26.99,89,13
Bogle,Blend,2019,1,0,0,0,0,California,1,1,1,0,14.79,89,14.5
Bread and Butter,Pinot Noir,2021,1,0,0,0,0,California,1,0,1,0,12.99,89,13.5
Cakebread Cellars,Merlot,2018,1,0,0,0,0,California,1,1,1,1,69.99,89,14.9
Clos du Bois,Pinot Grigio,2022,0,1,0,0,0,California,1,1,0,1,10.00,89,13
Division Winemaking Company,Orange Sauvignon Blanc,2021,0,1,0,1,0,Oregon,1,0,1,0,32.49,89,13.9
Duckhorn Vineyards,Merlot,2020,1,0,0,0,0,California,1,1,1,1,42.99,89,14.5
Duckhorn Vineyards,Chardonnay,2021,0,1,0,0,0,California,1,1,1,1,30.99,89,14.1
Duplin Winery,Scuppernong,2021,0,1,0,0,0,North Carolina,1,0,0,1,9.99,89,12
Ferrari-Carano Vineyards and Winery,Fume Blanc,2021,0,1,0,0,0,California,1,1,1,1,10.99,89,13.8
Frank Family Vineyards,Chardonnay,2021,0,1,0,0,0,California,1,1,1,1,44,89,14.4
Hahn Slh,Pinot Noir,2019,1,0,0,0,0,California,1,1,0,1,24.00,89,14.5
Hess Collection,Pinot Noir,2021,1,0,0,0,0,California,1,0,1,1,31.99,89,14.5
J Vineyard & Winery,Pinot Gris,2022,0,1,0,0,0,California,1,1,0,1,17.00,89,13.6
Justin Vineyards,Sauvignon Blanc,2021,0,1,0,0,0,California,1,1,0,1,12.49,89,13.5
La Crema,Pinot Noir,2021,1,0,0,0,0,Oregon,1,1,1,1,37.99,89,13.5
Markham Vineyards,Merlot,2016,1,0,0,0,0,California,1,1,1,1,32,89,14.6
Matchbook Wines,Red Blend,2019,1,0,0,0,0,California,1,1,1,1,24.99,89,14.3
Mer Soleil,Chardonnay,2021,0,1,0,0,0,California,1,0,1,1,17.99,89,14.5
Quilt Wines,Cabernet Sauvignon,2019,1,0,0,0,0,California,1,1,0,1,46.00,89,15.1
The Grenachista,Grenache,2018,1,0,0,0,0,California,0,1,0,1,32,89,14.1
Verracco Ridge Winery,Pinot Noir,2019,1,0,0,0,0,California,1,0,1,1,12.99,89,14
Austin Hope,Cabernet Sauvignon,2020,1,0,0,0,0,Nevada,1,0,1,1,60.99,90,15
Belle Glos,Pinot Noir,2021,1,0,0,0,0,California,1,1,1,1,55,90,14.8
Blackbird Vineyards,Blend,2018,1,0,0,0,0,California,1,1,1,1,34.99,90,14.2
Caymus,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,1,1,1,75.99,90,14.4
Chloe,Chardonnay,2021,0,1,0,0,0,California,1,0,0,0,11.00,90,14.5
Dark Horse,Pinot Grigio,2021,0,1,0,0,0,California,1,0,0,0,12.99,90,13
Domaine Carneros by Taittinger Brut Cuvee,Blend,2019,0,1,0,0,1,California,1,1,0,1,31.99,90,12
Embroidery,Pinot Noir,2021,1,0,0,0,0,California,1,0,1,1,7.99,90,13.5
EnRoute,Pinot Noir,2021,1,0,0,0,0,California,1,1,1,1,61,90,14.5
Epiphany Cellars,Red Blend,2018,1,0,0,0,0,California,1,0,1,1,30,90,14.8
Ferrari-Carano Vineyards and Winery,Chardonnay,2021,0,1,0,0,0,California,1,1,0,1,17.99,90,14.5
Ferrari-Carano Vineyards and Winery,Blend,2018,1,0,0,0,0,California,1,1,1,1,34.99,90,14.8
Flowers Vineyard & Winery,Carignan,2020,0,0,1,0,0,California,1,1,1,1,32.99,90,12.8
Foley Family Wines,Cabernet Sauvignon,2021,1,0,0,0,0,New York,0,1,1,1,49.99,90,14.5
Gundlach Bundschu Winery,Pinot Noir,2021,1,0,0,0,0,California,1,0,1,1,46.99,90,13.5
Haden Fig,Pinot Noir,2018,1,0,0,0,0,Oregon,1,1,0,1,41,90,13.5
Jeff Runquist 'R' Enver Salman Vineyard,Petite Sirah,2021,1,0,0,0,0,West Virginia,0,1,1,1,28.99,90,15
Jolo Vineyards,Blend,2022,1,0,0,0,0,North Carolina,1,1,1,0,29.99,90,13.2
Knuttel Family Vinyards,Chardonnay,2021,0,1,0,0,0,California,0,1,1,1,34.99,90,13.5
Kuleto Estate,Cabernet Sauvignon,2017,1,0,0,0,0,California,0,1,1,1,99.99,90,14.5
Louis M. Martini,Cabernet Sauvignon,2019,1,0,0,0,0,California,1,0,0,1,13.99,90,15.1
Louis M. Martini,Cabarnet Sauvignon,2018,1,0,0,0,0,California,1,0,0,1,41.99,90,15.1
Luke Wines,Merlot,2020,1,0,0,0,0,Washington,0,1,1,1,26.99,90,13.9
P/N Wines,Pinot Noir,2020,1,0,0,0,0,California,1,0,1,1,14.99,90,14
Pacific Rim,Riesling,2021,0,1,0,0,0,Washingotn,1,0,0,1,9.49,90,11.5
Pine Ridge Vineyards,Cabernet Sauvignon,2021,1,0,0,0,0,California,1,1,1,1,49.99,90,14.1
Robert Foley Vineyards,Blend,2017,1,0,0,0,0,California,1,1,1,1,34.99,90,15.5
Rodney Strong Vineyards,Blend,2019,1,0,0,0,0,California,1,0,0,1,19.00,90,14.5
Roederer Estate,Blend,2021,1,1,0,0,1,California,1,1,0,1,22.99,90,12.5
Rombauer Vineyards,Zinfandel,2020,1,0,0,0,0,California,1,0,1,1,45,90,15.9
Seaglass,Pinot Grigio,2021,0,1,0,0,0,California,1,0,0,0,10.00,90,13.5
Silver Oak Cellars,Cabernet Sauvignon,2018,1,0,0,0,0,California,1,0,1,1,94.99,90,14.2
Stags Leap Wine Cellars,Petite Sirah,2019,1,0,0,0,0,California,1,0,1,1,43,90,14.3
The Fifth Empire,Cabarnet Sauvignon,2017,1,0,0,0,0,California,1,0,1,1,69.99,90,14.9
Whitehall Lane,Sauvignon Blanc,2020,0,1,0,0,0,California,1,1,0,1,34,90,13.9
Caymus,Petite Sirah,2020,1,0,0,0,0,California,1,1,1,1,66.99,91,15.2
Daou Vineyards,Rosé,2021,0,0,1,0,0,California,1,0,0,1,19.99,91,14.1
Dry Creek Vineyard,Blend,2019,1,0,0,0,0,California,0,1,1,1,49.99,91,14.5
Earthquake,Cabernet Sauvignon,2020,1,0,0,0,0,California,1,0,0,0,25.00,91,15
Francis Ford Coppola,Pinot Noir,2017,1,0,0,0,0,California,1,1,1,1,17.99,91,14.1
Golden Gates Cellars,Chardonnay,2018,0,1,0,0,0,California,0,0,0,0,29.99,91,14.5
Kuleto Estate,Blend,2021,1,0,0,0,0,California,0,1,1,1,49.99,91,14.7
Morgen Long,Chardonnay,2021,0,1,0,0,0,Oregon,1,1,1,1,44.99,91,13.1
Orin Swift,Zinfandel,2021,1,0,0,0,0,California,1,0,1,1,39.99,91,15.8
Orin Swift,Blend,2020,1,0,0,0,0,California,1,0,0,0,62,91,15.7
